x-coordinate,y-coordinate,Similarity_score
/home/durga/similarity_data1/DF70E2EF16971D64F66C08150B7549000C3E62687B6D5CABE27447997A3DC2D2_msword,/home/durga/similarity_data1/D1516B41FEC101314FBE64C83F406D93AD01FD861B149248497EF50A219B5F4C_rdf+xml,0.34305643627140137
/home/durga/similarity_data1/DF70E2EF16971D64F66C08150B7549000C3E62687B6D5CABE27447997A3DC2D2_msword,/home/durga/similarity_data1/D97FE8EF5AD70A3BF38B7F4BBF1E94C6ABCC335902B5ADFC47686117335C024E_pdf,0.3744979919678715
/home/durga/similarity_data1/DF70E2EF16971D64F66C08150B7549000C3E62687B6D5CABE27447997A3DC2D2_msword,/home/durga/similarity_data1/6B611CCA93A83E4AC49EEB7EB11604C24FEF6F722A59AA4ED3AC0B28D0928E73_plain,0.3437751004016064
/home/durga/similarity_data1/DF70E2EF16971D64F66C08150B7549000C3E62687B6D5CABE27447997A3DC2D2_msword,/home/durga/similarity_data1/8A222EDB37C5264CB7214EFBB7C703CFF1696C6705F85542C7BB0516FEAB6043_plain,0.3437751004016064
/home/durga/similarity_data1/DF70E2EF16971D64F66C08150B7549000C3E62687B6D5CABE27447997A3DC2D2_msword,/home/durga/similarity_data1/676DE9061C3C064D420D760D35C31A1DB29DC0608414593DFB78695E88ED2935_gzip,0.29715762273901813
/home/durga/similarity_data1/DF70E2EF16971D64F66C08150B7549000C3E62687B6D5CABE27447997A3DC2D2_msword,/home/durga/similarity_data1/F414A4E0204BFB4EC483C187890DD1812A37D68C9507579E1D36EAD1180ECC60_mp4,0.5252956269522535
/home/durga/similarity_data1/DF70E2EF16971D64F66C08150B7549000C3E62687B6D5CABE27447997A3DC2D2_msword,/home/durga/similarity_data1/A984830D2A5ADCBB63BC139CF80DCF6CF55CB0C2E710480730573095FA746410_gzip,0.09027777777777779
/home/durga/similarity_data1/DF70E2EF16971D64F66C08150B7549000C3E62687B6D5CABE27447997A3DC2D2_msword,/home/durga/similarity_data1/839B9514871BCBFA4DFFD87C67A9FDF3C9546914BD1DFE1FD833937583058C10_mp4,0.35118250780901394
/home/durga/similarity_data1/DF70E2EF16971D64F66C08150B7549000C3E62687B6D5CABE27447997A3DC2D2_msword,/home/durga/similarity_data1/D20BA248AE42DB8C2A9FA77E6470C94790C6920A18082661CC60F326ED6C51C2_jpeg,0.3286479250334672
/home/durga/similarity_data1/DF70E2EF16971D64F66C08150B7549000C3E62687B6D5CABE27447997A3DC2D2_msword,/home/durga/similarity_data1/79C2ADF85EFEC9D8B8BD3CFB5175FE82A0FE31A348F73A8BBF5A35373823A5F4_quicktime,0.5877956269522535
/home/durga/similarity_data1/DF70E2EF16971D64F66C08150B7549000C3E62687B6D5CABE27447997A3DC2D2_msword,/home/durga/similarity_data1/FC91D59459FDDF00F05B6D1CD323CA2AF3618243E35561792F85ED5310996FAA_pdf,0.3744979919678715
/home/durga/similarity_data1/DF70E2EF16971D64F66C08150B7549000C3E62687B6D5CABE27447997A3DC2D2_msword,/home/durga/similarity_data1/D1D8A00B38A6E136150BFD8F0CA678BDBEC23BC460DC9355BE3629B0A97A3CC3_x-sh,0.3437751004016064
/home/durga/similarity_data1/DF70E2EF16971D64F66C08150B7549000C3E62687B6D5CABE27447997A3DC2D2_msword,/home/durga/similarity_data1/13F221A1EDB761597EB7F47B785EC912AFE35425CE371F7220E2F7B7D4363C67_msword,0.4762757444575626
